trial,sim_response,danger_col,correct,performance,c,w,agent,feat_1,feat_2,feat_3,feat_4,feat_5
1,1,1,1,1,0.5,equal,1,1,1,0,1,1
2,1,0,0,0.5,0.5,equal,1,0,0,0,0,0
3,0,0,1,0.6666666666666666,0.5,equal,1,1,0,0,1,0
4,0,0,1,0.75,0.5,equal,1,1,0,1,1,1
5,0,0,1,0.8,0.5,equal,1,1,0,0,0,1
6,0,0,1,0.8333333333333334,0.5,equal,1,0,0,0,1,0
7,0,0,1,0.8571428571428571,0.5,equal,1,0,1,0,0,0
8,1,1,1,0.875,0.5,equal,1,1,1,0,0,1
9,1,0,0,0.7777777777777778,0.5,equal,1,0,0,1,0,1
10,0,0,1,0.8,0.5,equal,1,1,0,1,0,1
11,0,1,0,0.7272727272727273,0.5,equal,1,1,1,1,0,0
12,1,0,0,0.6666666666666666,0.5,equal,1,0,0,0,0,0
13,1,0,0,0.6153846153846154,0.5,equal,1,1,0,1,0,0
14,0,1,0,0.5714285714285714,0.5,equal,1,1,1,1,1,0
15,1,0,0,0.5333333333333333,0.5,equal,1,0,0,1,0,0
16,0,1,0,0.5,0.5,equal,1,1,1,1,0,1
17,1,0,0,0.47058823529411764,0.5,equal,1,1,0,1,0,1
18,1,0,0,0.4444444444444444,0.5,equal,1,1,0,0,1,1
19,1,1,1,0.47368421052631576,0.5,equal,1,1,1,0,1,1
20,0,1,0,0.45,0.5,equal,1,1,1,1,1,1
21,0,0,1,0.47619047619047616,0.5,equal,1,0,0,1,0,0
22,1,0,0,0.45454545454545453,0.5,equal,1,0,0,0,0,1
23,0,0,1,0.4782608695652174,0.5,equal,1,1,0,0,1,0
24,0,0,1,0.5,0.5,equal,1,1,0,0,0,1
25,1,1,1,0.52,0.5,equal,1,1,1,0,0,1
26,1,0,0,0.5,0.5,equal,1,0,1,1,0,1
27,0,0,1,0.5185185185185185,0.5,equal,1,0,0,1,0,0
28,0,1,0,0.5,0.5,equal,1,1,1,0,0,0
29,0,0,1,0.5172413793103449,0.5,equal,1,1,0,1,1,0
30,0,0,1,0.5333333333333333,0.5,equal,1,1,0,1,1,0
31,1,1,1,0.5483870967741935,0.5,equal,1,1,1,0,1,0
32,1,0,0,0.53125,0.5,equal,1,0,0,1,0,1
33,1,1,1,0.5454545454545454,0.5,equal,1,1,1,1,1,0
34,1,0,0,0.5294117647058824,0.5,equal,1,1,0,0,1,1
35,1,1,1,0.5428571428571428,0.5,equal,1,1,1,1,1,1
36,1,1,1,0.5555555555555556,0.5,equal,1,1,1,0,1,0
37,1,0,0,0.5405405405405406,0.5,equal,1,0,0,1,1,1
38,1,0,0,0.5263157894736842,0.5,equal,1,1,0,1,0,0
39,0,0,1,0.5384615384615384,0.5,equal,1,0,0,1,1,1
40,1,0,0,0.525,0.5,equal,1,0,0,0,0,1
41,0,0,1,0.5365853658536586,0.5,equal,1,0,1,0,1,0
42,0,0,1,0.5476190476190477,0.5,equal,1,0,1,1,0,1
43,0,0,1,0.5581395348837209,0.5,equal,1,0,0,0,1,1
44,1,0,0,0.5454545454545454,0.5,equal,1,0,1,1,1,1
45,1,0,0,0.5333333333333333,0.5,equal,1,0,1,1,0,1
46,0,0,1,0.5434782608695652,0.5,equal,1,0,0,1,0,1
47,0,1,0,0.5319148936170213,0.5,equal,1,1,1,0,1,0
48,1,1,1,0.5416666666666666,0.5,equal,1,1,1,1,0,0
49,1,0,0,0.5306122448979592,0.5,equal,1,0,1,0,1,1
50,0,0,1,0.54,0.5,equal,1,0,1,0,1,1
51,0,0,1,0.5490196078431373,0.5,equal,1,0,1,0,0,1
52,0,0,1,0.5576923076923077,0.5,equal,1,0,0,1,1,0
53,0,0,1,0.5660377358490566,0.5,equal,1,0,1,1,1,0
54,0,1,0,0.5555555555555556,0.5,equal,1,1,1,0,0,1
55,0,0,1,0.5636363636363636,0.5,equal,1,1,0,0,1,1
56,0,0,1,0.5714285714285714,0.5,equal,1,0,1,1,0,0
57,0,0,1,0.5789473684210527,0.5,equal,1,0,1,1,1,1
58,1,0,0,0.5689655172413793,0.5,equal,1,1,0,1,1,1
59,0,0,1,0.576271186440678,0.5,equal,1,0,1,0,0,1
60,1,0,0,0.5666666666666667,0.5,equal,1,1,0,1,0,1
61,0,0,1,0.5737704918032787,0.5,equal,1,0,1,1,0,0
62,1,0,0,0.5645161290322581,0.5,equal,1,0,0,0,1,1
63,1,0,0,0.5555555555555556,0.5,equal,1,1,0,0,0,1
64,1,0,0,0.546875,0.5,equal,1,0,1,1,0,0
65,1,1,1,0.5538461538461539,0.5,equal,1,1,1,1,0,1
66,0,0,1,0.5606060606060606,0.5,equal,1,0,0,1,1,1
67,0,1,0,0.5522388059701493,0.5,equal,1,1,1,1,1,0
68,1,1,1,0.5588235294117647,0.5,equal,1,1,1,0,0,0
69,1,0,0,0.5507246376811594,0.5,equal,1,1,0,1,1,1
70,0,1,0,0.5428571428571428,0.5,equal,1,1,1,1,0,1
71,0,1,0,0.5352112676056338,0.5,equal,1,1,1,0,1,1
72,0,0,1,0.5416666666666666,0.5,equal,1,1,0,0,1,0
73,1,0,0,0.5342465753424658,0.5,equal,1,0,0,0,1,0
74,0,0,1,0.5405405405405406,0.5,equal,1,0,0,1,1,0
75,0,0,1,0.5466666666666666,0.5,equal,1,0,1,0,0,0
76,1,0,0,0.5394736842105263,0.5,equal,1,0,0,1,1,0
77,0,0,1,0.5454545454545454,0.5,equal,1,1,0,0,0,0
78,0,0,1,0.5512820512820513,0.5,equal,1,0,0,0,0,0
79,0,0,1,0.5569620253164557,0.5,equal,1,0,1,0,1,0
80,1,0,0,0.55,0.5,equal,1,0,1,1,1,0
81,1,0,0,0.5432098765432098,0.5,equal,1,0,1,0,1,0
82,1,1,1,0.5487804878048781,0.5,equal,1,1,1,1,0,0
83,1,0,0,0.54216867469879515,0.5,equal,1,0,1,0,1,1
84,1,0,0,0.5357142857142857,0.5,equal,1,1,0,0,0,0
85,1,0,0,0.5294117647058824,0.5,equal,1,0,1,1,1,1
86,0,0,1,0.5348837209302325,0.5,equal,1,0,1,0,0,0
87,1,0,0,0.5287356321839081,0.5,equal,1,0,0,0,1,0
