trueC,trueW,estC,estW1,estW2,estW3,estW4,estW5
0.5,equal,2.24499,0.0539259,0.0910125,0.299142,0.0337183,0.522201
0.5,equal,0.860056,0.151921,0.0255564,0.66519,0.119348,0.0379842
0.5,equal,2.09115,0.217345,0.199686,0.0798414,0.492537,0.0105904
0.5,equal,1.66104,0.166439,0.117989,0.215195,0.432092,0.0682838
0.5,equal,1.23098,0.106274,0.2165,0.244454,0.386099,0.0466728
0.5,equal,1.33469,0.135824,0.0587886,0.265132,0.0295128,0.510742
0.5,equal,0.989241,0.127939,0.0694882,0.536201,0.0310112,0.23536
0.5,equal,1.16321,0.0426385,0.252807,0.0357116,0.420149,0.248694
0.5,equal,1.34551,0.416147,0.0998583,0.34955,0.0547718,0.0796727
0.5,equal,1.70977,0.0130087,0.0442369,0.0298615,0.188795,0.724098
0.5,equal,1.65767,0.324032,0.140414,0.259425,0.081876,0.194252
0.5,equal,0.669642,0.249326,0.191912,0.0855953,0.0686986,0.404468
0.5,equal,0.484577,0.0711891,0.218203,0.1085,0.134701,0.467407
0.5,equal,1.0137,0.218717,0.353776,0.324246,0.00479918,0.0984626
0.5,equal,1.1116,0.184415,0.0776766,0.568228,0.0367341,0.132947
0.5,equal,1.8338,0.117769,0.190083,0.237348,0.175812,0.278988
0.5,equal,2.7151,0.138172,0.102684,0.133747,0.229779,0.395618
0.5,equal,3.47495,0.146414,0.166079,0.27837,0.211583,0.197554
0.5,equal,3.72605,0.0835679,0.0736991,0.202568,0.289771,0.350394
0.5,equal,1.34048,0.00668441,0.0605929,0.295644,0.0833278,0.553751
0.5,equal,4.3695,0.186007,0.0895324,0.181712,0.155796,0.386952
0.5,equal,1.7414,0.00199519,0.012731,0.344117,0.0970177,0.544139
0.5,equal,1.96652,0.00192938,0.00903858,0.281174,0.169472,0.538386
0.5,equal,2.8615,0.0993175,0.0981374,0.41342,0.0435292,0.345595
0.5,equal,1.62515,0.228787,0.163762,0.0893484,0.280984,0.237118
0.5,equal,0.737377,0.00753574,0.209381,0.362843,0.147213,0.273027
0.5,equal,1.93126,2.5084e-4,0.0436581,0.167861,0.187943,0.600287
0.5,equal,2.58777,0.0104747,0.0989265,0.354752,0.0361774,0.499669
0.5,equal,1.99204,0.0475751,0.027829,0.150379,0.497426,0.276791
0.5,equal,1.8659,0.158215,0.0452516,0.348664,0.175431,0.272438
0.5,equal,1.11212,0.0751711,0.0226741,0.259655,0.41622,0.22628
0.5,equal,3.39889,0.10555,0.00145596,0.27714,0.0334192,0.582436
0.5,equal,1.03686,0.0950649,0.00547319,0.0621128,0.0102898,0.827059
0.5,equal,1.23952,0.108569,0.00475796,0.096717,0.011451,0.778505
0.5,equal,1.38162,0.187067,0.115987,0.221924,0.468497,0.00652569
0.5,equal,1.24637,0.11232,0.178984,0.0303148,0.0380575,0.640323
0.5,equal,3.55426,0.148033,0.0629606,0.413098,0.125608,0.250301
0.5,equal,3.61027,0.25277,0.0847608,0.312004,0.282373,0.0680927
0.5,equal,3.98726,0.211507,0.0992367,0.418449,0.180366,0.0904414
0.5,equal,0.91349,0.00611623,8.6966e-4,0.0395928,0.104997,0.848424
0.5,equal,1.55499,0.0118753,0.00324615,0.167739,0.343609,0.473531
0.5,equal,1.28505,0.0123056,0.00157701,0.0663841,0.394056,0.525677
0.5,equal,1.69649,0.303451,0.00588873,0.478511,0.0814151,0.130735
0.5,equal,3.32416,0.00626961,0.115675,0.0261107,0.191129,0.660815
0.5,equal,2.8235,0.00594868,0.17346,0.0465047,0.132121,0.641966
0.5,equal,3.28682,0.00387355,0.00930209,0.424321,0.163936,0.398567
0.5,equal,3.89242,0.0110468,0.179845,0.364848,0.0257961,0.418464
0.5,equal,3.28429,0.0328435,0.0571585,0.553452,0.0437209,0.312825
0.5,equal,2.31993,0.0146497,0.0576084,0.267199,0.437353,0.22319
0.5,equal,1.78034,0.124153,0.122026,0.095545,0.0201825,0.638094
0.5,equal,2.05542,0.124695,0.0916885,0.0489318,0.0119733,0.722712
0.5,equal,3.0865,0.112577,0.0109312,0.269176,0.325532,0.281784
0.5,equal,3.95594,0.0536795,0.044012,0.134304,0.29573,0.472275
0.5,equal,4.2274,0.0276724,0.119228,0.144947,0.126828,0.581325
0.5,equal,0.212963,0.527675,0.0718352,0.147307,0.182082,0.0711009
0.5,equal,0.55161,0.50669,0.433779,0.0191314,0.0309429,0.00945604
0.5,equal,0.558622,0.139907,0.092011,0.380897,0.0534184,0.333767
0.5,equal,3.19495,0.00582218,0.0818885,0.125098,0.189582,0.59761
0.5,equal,3.3204,0.228207,0.0670498,0.370462,0.00725125,0.327031
0.5,equal,2.56343,0.0366237,0.0680326,0.191331,0.172351,0.531662
0.5,equal,1.8845,0.0494273,0.0826473,0.20625,0.207738,0.453937
0.5,equal,2.05447,0.0431385,0.155013,0.151599,0.237717,0.412533
0.5,equal,3.42008,0.208269,0.0090419,0.0645276,2.70374e-4,0.717891
0.5,equal,0.44861,0.0924174,0.0157186,0.439972,0.00257856,0.449313
0.5,equal,4.05586,0.0290665,0.12055,0.110305,0.406841,0.333237
0.5,equal,3.54002,0.032534,0.121122,0.0799179,0.150805,0.615621
0.5,equal,0.745386,0.290154,0.102464,0.331859,0.132197,0.143326
0.5,equal,1.24899,0.135553,0.281389,0.106113,0.188239,0.288706
0.5,equal,1.36363,0.10638,0.13412,0.0936208,0.0917051,0.574174
0.5,equal,3.20918,0.0567221,0.0841526,0.395056,0.130304,0.333766
0.5,equal,3.67256,0.0443794,0.0846506,0.462095,0.145774,0.263101
0.5,equal,1.83573,0.0210157,0.0520574,0.180291,0.0747055,0.67193
0.5,equal,1.4184,0.182891,0.39372,0.188965,0.201527,0.0328974
0.5,equal,1.67828,0.0857528,0.0194501,0.140682,0.0526968,0.701419
0.5,equal,3.28905,0.0555369,0.167794,0.0905156,0.267724,0.418429
0.5,equal,1.63744,0.188374,0.0263947,0.237295,0.0819176,0.466018
0.5,equal,1.34633,0.163919,0.0169208,0.263715,0.156829,0.398617
0.5,equal,4.00896,0.0568795,0.00786793,0.227319,0.193668,0.514266
0.5,equal,1.63629,0.0415403,0.0763442,0.484574,0.0208385,0.376703
0.5,equal,1.58415,0.353012,0.172387,0.0901377,0.0640578,0.320405
0.5,equal,2.68465,0.00224286,0.0860775,0.379035,0.252479,0.280165
0.5,equal,1.08183,0.16302,0.0997366,0.172079,0.0444698,0.520695
0.5,equal,2.34251,0.168669,0.0302287,0.189778,0.0614459,0.549879
0.5,equal,2.29311,0.136406,0.027844,0.128519,0.0687662,0.638465
0.5,equal,2.59984,0.0839288,0.0960762,0.350816,0.229892,0.239286
0.5,equal,0.877104,0.380523,0.0293886,0.0525871,0.186925,0.350576
0.5,equal,1.08252,0.203479,0.54403,0.209215,0.0328975,0.0103791
0.5,equal,2.3365,0.0345558,0.00942626,0.0145646,0.118209,0.823245
0.5,equal,0.332582,0.0633365,0.123022,0.593691,0.063702,0.156249
0.5,equal,0.834561,0.350256,0.261151,0.0179861,0.0115693,0.359037
0.5,equal,1.8167,0.0622738,0.0422704,0.689982,0.188623,0.0168508
0.5,equal,0.701084,0.410119,0.0962772,0.340529,0.128415,0.0246596
0.5,equal,1.40916,0.0668167,0.0338923,0.0934137,0.0813107,0.724567
0.5,equal,1.41133,0.0880681,0.0927377,0.13417,0.0822951,0.602729
0.5,equal,3.47115,0.0701179,0.0673362,0.409717,0.106369,0.34646
0.5,equal,3.00025,0.0547084,0.065969,0.245206,0.183086,0.451031
0.5,equal,1.77283,0.156427,0.0794846,0.115872,0.197818,0.450398
0.5,equal,1.54085,0.137781,0.0674384,0.0164886,0.0974086,0.680883
0.5,equal,2.51039,0.0581535,0.217752,0.0822772,0.330348,0.31147
0.5,equal,0.59355,0.113666,0.0844209,0.248303,0.106297,0.447313
0.5,equal,3.82677,0.092899,0.0686573,0.30508,0.117607,0.415756
0.5,equal,0.992081,0.040819,0.141159,0.0575372,0.344145,0.416339
0.5,equal,1.05594,0.508794,0.0493022,0.280988,0.0892899,0.0716257
