variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
lp__,-56.6755687375,-56.3015,1.7968482579997374,1.5551732699999967,-60.138275,-54.516594999999995,1.0018430936249783,3053.2896560805634,3474.334798934039
w[1],0.366398971825,0.36317900000000003,0.08495949357821851,0.0833621502,0.23319715,0.5102652,1.0000265196603269,5033.809912285981,5077.436510673665
w[2],0.3474225298375,0.34584499999999996,0.08584708499169239,0.08457121049999995,0.20921195,0.4903534499999999,0.9998259909593912,8326.686448890245,5837.624803894999
w[3],0.073541139931325,0.056216550000000004,0.06578856733479242,0.05561514294,0.0042515855,0.20301034999999992,1.0010651054291009,6431.7437663911,3757.5023092472265
w[4],0.100921929568975,0.07851765,0.08400823951308288,0.07463645616,0.007070632500000001,0.26621294999999984,1.0002700740413315,6836.788513374487,5021.106952727715
w[5],0.11171543912473063,0.08966025,0.09119967508156639,0.08524223525999998,0.007712840500000002,0.29227679999999984,1.000997566536035,6213.619735132555,4426.885759808234
logit_c,1.286014519476625,1.23532,0.6596404004541494,0.6520556342999999,0.29213910000000004,2.4484214999999985,1.0011634394041358,5403.577929610615,4625.808413005142
c,3.8224938975,3.8737399999999997,0.5366936460108486,0.5572277970000002,2.8626025000000004,4.60223,1.0008708026522186,5403.591148743321,4625.808413005142
r[1],0.5,0.5,0,0,0.5,0.5,NA,NA,NA
r[2],0.5,0.5,0,0,0.5,0.5,NA,NA,NA
r[3],0.5,0.5,0,0,0.5,0.5,NA,NA,NA
r[4],0.5,0.5,0,0,0.5,0.5,NA,NA,NA
r[5],0.5,0.5,0,0,0.5,0.5,NA,NA,NA
r[6],0.5,0.5,0,0,0.5,0.5,NA,NA,NA
r[7],0.5,0.5,0,0,0.5,0.5,NA,NA,NA
r[8],0.5,0.5,0,0,0.5,0.5,NA,NA,NA
r[9],0.533089614625,0.534254,0.10365115691272592,0.10649441670000002,0.36039949999999993,0.7019693999999999,0.9999766704760698,5752.782115532363,5625.952059573706
r[10],0.0789192228375,0.07260905,0.02919396891578647,0.025289820149999993,0.044504445,0.13480324999999993,1.0002199096038178,6530.96054464597,5396.663163683316
r[11],0.382049162675,0.3799935,0.09834228053348448,0.10120079339999997,0.2248241,0.54906055,0.9998921347140496,8297.493228766753,5584.325923555796
r[12],0.721300467875,0.7373935,0.09159738415570196,0.08278616009999994,0.5458925499999999,0.8412717999999999,1.0002160195524388,5687.127030725149,6100.529677501034
r[13],0.1249136231125,0.11954100000000001,0.04013352107470233,0.03828110264999999,0.06921886500000002,0.19716055,1.0005750043057233,9311.123444656827,5920.223140124675
r[14],0.1083799988375,0.102891,0.036738667550103694,0.03443983431,0.05881334,0.17571715000000002,1.0008322495962583,9666.255444465782,5860.091760207403
r[15],0.840955872875,0.8462735,0.03785479075352733,0.03609760350000003,0.77100585,0.89328885,1.0007864021607438,8033.328340022207,5918.404253212925
r[16],0.375658976375,0.372933,0.0795916286273375,0.08043994559999999,0.24845285,0.5110657,1.0000855939122457,9260.625218527868,5532.244262439216
r[17],0.8127218295,0.820612,0.05243154205915574,0.04865374290000004,0.71461685,0.8832285499999999,1.000592499902239,7133.319138017748,5891.288821555934
r[18],0.37638993275,0.3748935,0.0787074924321716,0.08030651159999998,0.24914345,0.5075677,1.0003321919512935,8115.0905808588295,5110.686880089407
r[19],0.1188899572625,0.112915,0.04133569079352717,0.0391739985,0.063012265,0.1951240999999999,1.000908369135643,8900.578562224699,6107.745781132982
r[20],0.81932465625,0.8251934999999999,0.044720691677637904,0.04243349460000018,0.7369409,0.8817313,1.0008425866201278,8389.109281078803,6229.537774010027
r[21],0.108555744125,0.103291,0.03700314902845038,0.03523250640000001,0.057906189999999996,0.17591849999999995,1.0011945483363156,9213.213599247465,6060.119032069494
r[22],0.398730048625,0.3968615,0.0808975399356817,0.08156746289999998,0.26905860000000004,0.5358833000000001,0.9999242093600534,10151.590185477366,5394.837199055388
r[23],0.81703061025,0.822524,0.0446583649289566,0.04260695880000006,0.7344362,0.8794053500000001,1.0008856745390753,8105.415529606271,6051.258442994705
r[24],0.394138383625,0.3944975,0.0808725627720559,0.0827016519,0.2624495,0.5279573000000001,1.0004489210494254,7966.557019273922,5237.234334423034
r[25],0.432848776,0.4313245,0.08535214618697302,0.08435178570000001,0.2932783,0.5748021999999999,1.0003000473480559,10754.50056829837,5144.285305113319
r[26],0.402031760875,0.40042,0.08059517823935483,0.08031021809999997,0.27053350000000004,0.5372762999999999,1.000483478656214,10666.700540568856,5470.023875171442
r[27],0.370387978375,0.370347,0.07471873811796075,0.07623010289999996,0.25042365,0.49535935,1.0008201138032917,8862.363937020209,4439.697132188133
r[28],0.820137767625,0.8246405,0.0398586317187813,0.03841268339999994,0.74835175,0.8772183499999999,1.0010550041317166,8269.711332827877,5614.876531217249
r[29],0.124521839875,0.1190225,0.041154520460243815,0.03991752239999998,0.0671542,0.1994628499999996,1.0008907256190152,9272.552096839949,5884.659777837718
r[30],0.357631296375,0.357031,0.07393072100872475,0.07536945359999998,0.2392441,0.4811742499999999,1.00083741074991,8900.723139531545,4898.084296630734
r[31],0.405023492125,0.403053,0.0808984404209995,0.08107598100000002,0.27330495,0.54084755,1.0002805849527827,10537.734934923272,5402.286608472159
r[32],0.816271475375,0.820882,0.04115582164024312,0.03984116850000003,0.7416554000000001,0.87517055,1.0009590867570959,8166.622850557015,5946.379038003744
r[33],0.1204646172625,0.114937,0.03968455595411085,0.037702073219999986,0.06563139,0.19280784999999998,1.0008535836165917,9453.9229823257,5930.323063517336
r[34],0.833379903875,0.8371280000000001,0.036098177275046835,0.03472619850000002,0.7676992,0.8847311500000001,1.000833665763332,8544.94913587243,5799.936709311218
r[35],0.397296721125,0.3957585,0.07967540576425115,0.07994549849999998,0.2673993,0.5316619999999999,1.0002374323610033,10682.733850861678,5418.563242745556
r[36],0.830335316875,0.834104,0.0365118933771547,0.03514577429999998,0.76410175,0.88233575,1.0008213289333898,8514.852088257718,5762.86538655252
r[37],0.376138898125,0.375732,0.07533982171937915,0.07659482250000003,0.25415765,0.5010903999999999,1.0006579153384798,8589.022649079501,4611.365548864291
r[38],0.828630503875,0.8323860000000001,0.0367999469279369,0.035547558899999936,0.76233275,0.88126715,1.0009163686393712,8282.924726444331,5850.662775052305
r[39],0.113117594975,0.1079585,0.03734210817581523,0.03536393889,0.06185849,0.18073699999999998,1.0010486055661711,9697.664806967976,5955.228533759198
