Subject_ID,variable,Parameter,MeanValue
1,w[1],mean,0.5740080125
1,w[1],median,0.5735939999999999
1,w[1],sd,0.0775493336794547
1,w[1],mad,0.07668303719999998
1,w[1],q5,0.44735305000000003
1,w[1],q95,0.70020935
1,w[1],rhat,1.0016679763503067
1,w[2],mean,0.064003183688
1,w[2],median,0.05027065
1,w[2],sd,0.05410904481657199
1,w[2],mad,0.04709908854
1,w[2],q5,0.0042214625
1,w[2],q95,0.17084685
1,w[2],rhat,1.002653454056155
1,w[3],mean,0.2528561252
1,w[3],median,0.25171849999999996
1,w[3],sd,0.06860384860699581
1,w[3],mad,0.07079637389999997
1,w[3],q5,0.14043225
1,w[3],q95,0.36550125000000006
1,w[3],rhat,0.9997307086251843
1,w[4],mean,0.0535067891297
1,w[4],median,0.0397862
1,w[4],sd,0.0491816324440349
1,w[4],mad,0.03949683465
1,w[4],q5,0.003200413
1,w[4],q95,0.15522545
1,w[4],rhat,1.0006085438950654
1,w[5],mean,0.055625890632045
1,w[5],median,0.04289105
1,w[5],sd,0.04782130469316345
1,w[5],mad,0.04052249733
1,w[5],q5,0.003593861
1,w[5],q95,0.1538134
1,w[5],rhat,0.9994198009142946
1,logit_c,mean,1.850644486
1,logit_c,median,1.81224
1,logit_c,sd,0.6104496172022897
1,logit_c,mad,0.6138260520000001
1,logit_c,q5,0.9278769
1,logit_c,q95,2.9169719999999995
1,logit_c,rhat,1.001111983414883
1,c,mean,4.24607683
1,c,median,4.298165
1,c,sd,0.3643547243500888
1,c,mad,0.36258465599999984
1,c,q5,3.5832245
1,c,q95,4.7433925
1,c,rhat,1.0011119888167543
2,w[1],mean,0.502350057
2,w[1],median,0.503503
2,w[1],sd,0.07151053071838835
2,w[1],mad,0.06919664850000004
2,w[1],q5,0.38400559999999995
2,w[1],q95,0.61931045
2,w[1],rhat,1.0015872474361445
2,w[2],mean,0.03439650288415
2,w[2],median,0.02458675
2,w[2],sd,0.033375526786190345
2,w[2],mad,0.025546591644
2,w[2],q5,0.0020174195
2,w[2],q95,0.10118574999999999
2,w[2],rhat,1.0001087351350502
2,w[3],mean,0.3891916857
2,w[3],median,0.3887565
2,w[3],sd,0.0692651391949171
2,w[3],mad,0.0674664543
2,w[3],q5,0.27672359999999996
2,w[3],q95,0.5043920999999999
2,w[3],rhat,1.000895592168098
2,w[4],mean,0.03721641226115
2,w[4],median,0.0266548
2,w[4],sd,0.035423927373708364
2,w[4],mad,0.026105472539999997
2,w[4],q5,0.00226092
2,w[4],q95,0.10462284999999999
2,w[4],rhat,1.0019503355731465
2,w[5],mean,0.03684535999396
2,w[5],median,0.02527865
2,w[5],sd,0.03592322434042012
2,w[5],mad,0.027193634222999995
2,w[5],q5,0.001618829
2,w[5],q95,0.10977979999999996
2,w[5],rhat,1.003107062169447
2,logit_c,mean,2.26403932
2,logit_c,median,2.232665
2,logit_c,sd,0.5760674110285898
2,logit_c,mad,0.5730174869999997
2,logit_c,q5,1.351268
2,logit_c,q95,3.247904
2,logit_c,rhat,1.0009697503239479
2,c,mean,4.47365107
2,c,median,4.51572
2,c,sd,0.2606338772927484
2,c,mad,0.24486621600000028
2,c,q5,3.9716795
2,c,q95,4.8129905
2,c,rhat,1.0009697984786037
3,w[1],mean,0.580292692
3,w[1],median,0.576781
3,w[1],sd,0.08345978931781234
3,w[1],mad,0.08233693229999993
3,w[1],q5,0.44224769999999997
3,w[1],q95,0.71994885
3,w[1],rhat,0.9999924851218871
3,w[2],mean,0.06720925132325
3,w[2],median,0.052352499999999996
3,w[2],sd,0.05670847646882051
3,w[2],mad,0.050262363899999996
3,w[2],q5,0.004601694
3,w[2],q95,0.17746779999999998
3,w[2],rhat,0.9997531129645013
3,w[3],mean,0.2473208792625
3,w[3],median,0.24665900000000002
3,w[3],sd,0.0728929037098107
3,w[3],mad,0.07224635670000001
3,w[3],q5,0.12901089999999998
3,w[3],q95,0.3667859
3,w[3],rhat,1.0010873621309824
3,w[4],mean,0.0502049443169
3,w[4],median,0.03800655
3,w[4],sd,0.04472947274357206
3,w[4],mad,0.038530846619999996
3,w[4],q5,0.002788637
3,w[4],q95,0.13910234999999999
3,w[4],rhat,1.0004018436569697
3,w[5],mean,0.05497223724835
3,w[5],median,0.04141025
3,w[5],sd,0.04934981055435917
3,w[5],mad,0.04072857873
3,w[5],q5,0.003452045000000001
3,w[5],q95,0.14943679999999993
3,w[5],rhat,0.9995142124370254
3,logit_c,mean,1.6860102908
3,logit_c,median,1.655435
3,logit_c,sd,0.6083735642565474
3,logit_c,mad,0.6311279939999999
3,logit_c,q5,0.7774083499999999
3,logit_c,q95,2.7139134999999994
3,logit_c,rhat,0.9995524393959128
3,c,mean,4.139969275
3,c,median,4.198119999999999
3,c,sd,0.40420309571119767
3,c,mad,0.4176484200000011
3,c,q5,3.4256105
3,c,q95,4.689216
3,c,rhat,0.9995523801378124
4,w[1],mean,0.4927206785
4,w[1],median,0.4900685
4,w[1],sd,0.0879178083752256
4,w[1],mad,0.08948825339999991
4,w[1],q5,0.3516158
4,w[1],q95,0.6367733500000001
4,w[1],rhat,0.9998374554672488
4,w[2],mean,0.05040388197275
4,w[2],median,0.03562845
